,title,link
42,Libra 2.0与数字美元 |姚前,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496944&idx=1&sn=844be1497047b3f8ac2de9510b3a7107&chksm=eb5180ebdc2609fd7502ef1f16fbdc21ba11ef38c2f6e24877bac35de3731a5d185de79b737e#rd
43,2020年两会区块链研究报告 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496931&idx=1&sn=1691d241fb07c7ecf83da9279f2df40c&chksm=eb5180f8dc2609ee3337eea30569c5eda7754581575050912806b8f505e4db3e942f701ba3a9#rd
44,DC/EP的关键性技术,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496899&idx=1&sn=be11aa9e085d8c8fab991a1a79cfd5de&chksm=eb5180d8dc2609ce40e5e5441e8e7f2936fc166eb44f4361d593c6d94838b2557b677182c37e#rd
45,多位两会代表提交产业区块链相关提案，区块链有望纳入国家“十四五”规划 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496895&idx=1&sn=d43da9b77ec5887881028903ae8a6c13&chksm=eb5180a4dc2609b22186efebaa20d9710f1a1209031376ce054adf73a62c9a98144d3672fbb9#rd
46,2020年四⽉交易所安全报告 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496883&idx=1&sn=45afbc4ebdae5c7a666080ec1eba987b&chksm=eb5180a8dc2609be5c1c23515e18240109943c4cc907bf700ede883c597995d3d41d7e6e863f#rd
47,教育部印发《高等学校区块链技术创新行动计划》，区块链人才培养体系目标明确 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496824&idx=1&sn=a419d406d59b664a94e3188e99c0cd86&chksm=eb518063dc260975569f2e3281bce30f22059307e4b6a122174c4693a9ce671f1ff96e03b788#rd
48,区块链 Vs. 互联网，创新在哪里？,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496803&idx=1&sn=851fbff1cf9993dcdc5e3a85eb2fa74c&chksm=eb518078dc26096ede9062a7d736d312c36ae889dc490d40c1373d90b9340c807a70e6a05be6#rd
49,中国区块链50城——国内省市最新政策动态扫描,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496764&idx=1&sn=fea832b43adcf6ee9da135c047dab54e&chksm=eb518027dc2609311e858e74fba624bd9f97b60138fa8a7dd44c9fe39a32b9a926775639211f#rd
50,比特币减半，30余位专家、企业家的价格预测、未来展望都在这里,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496755&idx=1&sn=9142316d2b83fa29d42a50f9b94d647e&chksm=eb518028dc26093e7296b5ae731560ef0aabda640b1fb75e78248834053a450ac70eea4feff8#rd
51,DC/EP应用场景探讨,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496733&idx=1&sn=03217561aefe3c49924973909cab191f&chksm=eb518006dc260910ee54312a704bf372c656ff81da852d2b44d28e922f8684c0ce0b3fbf7dde#rd
52,速评 | BTC减半影响几何？,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496729&idx=1&sn=46c589a48cf2c8a2fe580bdab4d2963f&chksm=eb518002dc260914b4b2bfc53d2a0bdd21500788214b22bb8df7ac45e350bf8796885451306f#rd
53,DCEP发行的意义与影响,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496717&idx=1&sn=87b53ccebc221e6d5978a2c72f4fbd78&chksm=eb518016dc260900b3dfbd132ade54bbf780ae83322050f332a09c3e60fea38413b41be20501#rd
54,关注 | 数字货币要来了，监管与治理是件大事！,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496705&idx=1&sn=b32a273f9aed07d1a2d5edd83de81d9c&chksm=eb51801adc26090c42c4e9b901da46fa6127b367a94d187d74784fd1b294664f6d7d0d0955bb#rd
55,区块链新基建研究报告 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496703&idx=1&sn=d4b4e2cc26c11a7a9b9f8b0bac69923e&chksm=eb5187e4dc260ef202154341d29fbfba3369c906cb58569d64fc4239f07c915b2235af2919de#rd
56,2020中国区块链战“疫”案例特刊重磅发布！|链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496627&idx=1&sn=3879c4966a5cc973f6e55512af95b92a&chksm=eb5187a8dc260ebea4159af4856fc2861f2a3b599df605d12c47de4081fb9aa1bbf6d8a68090#rd
57,产业复苏|2020区块链与数字经济高峰论坛暨区块链战“疫”报告线上发布会召开,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496617&idx=1&sn=d09d15af8645d5e723cc08e803858af6&chksm=eb5187b2dc260ea46211038b5b645e9f1279f68fbf8f337491e82a6a87201dd3123bc7d29b08#rd
58,产业复苏|2020区块链与数字经济高峰论坛暨区块链战“疫”报告线上发布会召开,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496606&idx=1&sn=9f86f92664c3cc9af27299c1300c320a&chksm=eb518785dc260e93e2af5df67350c4d3b296c8f874db7a61235f32425f5c5070a295ef7ca693#rd
59,4月26日，2020区块链与数字经济高峰线上论坛|链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496585&idx=1&sn=cd942b97ef8f5508890c5f33d675e698&chksm=eb518792dc260e8473d78deeb97f3c9f040fd8021a920f6dcbcd99faad4c52bca15f0ccaa8bd#rd
60,马化腾：区块链全面拥抱产业互联网 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496572&idx=1&sn=63d660643491ff5345ad43a67fa08bc0&chksm=eb518767dc260e7129d744625142ca7d51c7005390468f9ca7fa3d5e84aea9c8c93b48827657#rd
61,央行数字货币（DC/EP）产业及产业规模研究报告,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496566&idx=1&sn=28f6da7e6752468bf7eba8766999fdea&chksm=eb51876ddc260e7bb6964b4ff3debb3b82d8ffb95dc2a6530fb2e3c3f57c619a79fdc24d673a#rd
62,2020年Q1交易所安全报告 |链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496482&idx=1&sn=d3327e00c79ab4333ae8ee097fe4fbef&chksm=eb518739dc260e2f39cb85a08ef5896bbc34e608a1775b3c77b187813d90e35a0cf592d5b704#rd
63,央行数字货币DC/EP正式开始内部测试（附操作指南）,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496406&idx=1&sn=057d2ed395f77afa986e962f64b9db56&chksm=eb5186cddc260fdb2231eaae010833ff1aba82438e917a30f79d73e524e57bc240dd7dbe4178#rd
64,中纪委：区块链蕴含的变革力量|链塔智库,http://mp.weixin.qq.com/s?__biz=MzI3ODY4NTA0NA==&mid=2247496395&idx=1&sn=0bf8c79a511db840543c61b6c959e1eb&chksm=eb5186d0dc260fc6fafedd8c9baed928d8054cfe62a4cde22e98d6d634d77d3b00bbcfb6f66b#rd
